neighborhood,avg of reviews,avg of overall_satisfaction,avg of price,max of reviews,min of reviews,max of price,min of price
Jamaica Plain,22.406349206349205,3.1777777777777776,140.41587301587302,244,0,675,24
Back Bay,11.296819787985866,2.6943462897526502,237.51590106007066,283,0,1372,41
Allston,10.31400966183575,1.9855072463768115,100.01932367149759,118,0,550,20
Dorchester,25.0,3.04375,91.575,262,0,395,30
East Boston,28.53174603174603,3.4444444444444446,115.48412698412699,281,0,300,35
Beacon Hill,17.8,3.107317073170732,215.90731707317073,214,0,849,42
Fenway,8.094594594594595,1.9087837837837838,218.77027027027026,223,0,4000,25
Mission Hill,11.346534653465346,1.881188118811881,132.16831683168317,385,0,872,27
Roxbury,22.802721088435373,3.1258503401360542,148.3673469387755,154,0,1400,28
Brighton,13.25,2.3666666666666667,113.95555555555555,152,0,999,10
South Boston,19.830065359477125,3.0294117647058822,189.55555555555554,192,0,1000,47
Downtown,14.671052631578947,2.5789473684210527,241.18421052631578,188,0,1000,38
West End,8.224137931034482,2.0948275862068964,227.25862068965517,81,0,583,60
North End,25.401515151515152,3.1856060606060606,183.13636363636363,249,0,600,35
South End,14.725609756097562,2.913109756097561,195.10670731707316,203,0,1193,19
South Boston Waterfront,6.36231884057971,1.5797101449275361,337.463768115942,85,0,3000,95
Roslindale,26.696428571428573,3.9017857142857144,94.60714285714286,147,0,250,40
Hyde Park,9.615384615384615,2.5384615384615383,92.57692307692308,53,0,250,40
Leather District,9.125,2.5,342.75,27,0,571,159
Charlestown,24.43076923076923,3.1846153846153844,228.53846153846155,198,0,1000,55
West Roxbury,11.533333333333333,2.066666666666667,109.76666666666667,155,0,375,45
Chinatown,11.909090909090908,2.381818181818182,254.92727272727274,172,0,600,92
Bay Village,10.947368421052632,2.8421052631578947,254.1578947368421,47,0,1200,81
Mattapan,14.4,2.025,78.65,69,0,169,44
Longwood Medical Area,52.333333333333336,3.0833333333333335,99.33333333333333,115,0,149,60
